Plugin,Frequency
rollup-plugin-typescript2,14
postcss-safe-parser,1
vue-lodash,1
vue-meta,2
webfontloader,2
babel-plugin-transform-react-jsx,3
color,9
compression-webpack-plugin,7
eslint-plugin-es5,1
html-loader,12
node-sass,31
onchange,3
optimist,2
sass-resources-loader,2
theo,1
vue-styleguidist,1
webpack-merge-and-include-globally,1
popper.js,14
clipboard,9
eslint-import-resolver-webpack,11
formidable,1
transliteration,3
vue-markdown-loader,4
@devui-design/icons,1
@ngx-translate/core,5
@ngx-translate/http-loader,3
@popperjs/core,21
bootstrap,28
gridstack,1
@angular-builders/custom-webpack,4
@types/marked,5
clean-css-cli,4
css-vars-ponyfill,1
codelyzer,10
markdown-loader,2
stylelint-config-recommended-scss,5
synckit,1
@sveltejs/adapter-static,2
@sveltejs/kit,5
@sveltejs/package,4
@sveltejs/vite-plugin-svelte,4
eslint-plugin-svelte,4
postcss-combine-duplicated-selectors,1
postcss-sort-media-queries,1
publint,6
svelte,12
svelte-check,7
@types/bun,1
lefthook,3
vercel,2
react-just-parallax,1
scroll-lock,1
@vitejs/plugin-react,25
react-popper,7
@wedges/eslint-config,1
@radix-ui/react-select,6
@radix-ui/react-visually-hidden,1
embla-carousel,2
embla-carousel-react,4
input-otp,2
react-dropzone,13
recharts,11
@mdx-js/loader,7
@tailwindcss/forms,16
@types/babel__core,4
@types/mdx,4
@types/react-syntax-highlighter,5
@types/recharts,2
@types/uuid,13
css-minify,1
embla-carousel-autoplay,2
embla-carousel-class-names,1
next-mdx-remote,4
next-nprogress-bar,1
phosphor-react,2
prettier-plugin-css-order,1
react-markdown,11
react-syntax-highlighter,6
remark-toc,1
tsconfig-paths-webpack-plugin,4
@fontsource-variable/rubik,1
@lit-labs/react,1
@lit/localize,2
@open-wc/form-control,1
@open-wc/form-helpers,1
element-internals-polyfill,1
@commitlint/prompt-cli,1
@storybook/addon-mdx-gfm,6
@storybook/addon-viewport,4
@storybook/jest,1
@storybook/web-components,2
@storybook/web-components-vite,1
@trendyol/baklava-icons,1
@trivago/prettier-plugin-sort-imports,8
@types/estree,6
@web/dev-server-import-maps,3
@web/test-runner-puppeteer,3
@webcomponents/webcomponentsjs,2
del-cli,4
esbuild-plugin-lit-css,1
eslint-plugin-unused-imports,16
rollup-plugin-lit-css,1
ts-lit-plugin,1
@commitlint/cz-commitlint,4
@solidjs/testing-library,1
babel-preset-solid,2
rollup-plugin-cleanup,5
rollup-plugin-copy,11
rollup-plugin-license,3
rollup-preset-solid,2
solid-js,4
vite-plugin-solid,3
@vitest/ui,11
@storybook/addon-postcss,1
@fortawesome/fontawesome-free,8
@angular-builders/jest,2
@ls-lint/ls-lint,1
all-contributors-cli,14
better-scripts,1
esbuild-register,6
lodash.isequal,8
react-native-redash,2
@release-it/conventional-changelog,21
auto-changelog,4
react-native-builder-bob,13
react-native-gesture-handler,25
react-native-reanimated,23
release-it,34
@angular/pwa,1
antd-mobile-demo-data,1
ng-zorro-antd,1
@angular/upgrade,2
jasmine-marbles,2
ngx-color,1
ngx-infinite-scroll,3
rollup-plugin-sourcemaps,4
eslint-plugin-svelte3,4
prettier-plugin-package,1
eslint-config-standard-react,1
microbundle-crl,1
react-scripts,41
@expo/vector-icons,8
react-native-progress,2
@hookform/resolvers,10
@vercel/analytics,8
@vercel/speed-insights,6
react-wrap-balancer,4
flatpickr,4
material-components-web,1
quill,7
@csstools/normalize.css,1
@rollup/plugin-alias,18
@vue/compiler-sfc,17
babel-plugin-prismjs,3
balm,1
font-awesome,10
nyc,15
sanitize.css,1
@loadable/component,4
@material-ui/core,9
@material-ui/icons,7
@material-ui/lab,3
dot-prop-immutable,1
gatsby-image,2
gatsby-plugin-manifest,3
gatsby-plugin-material-ui,1
gatsby-plugin-offline,2
gatsby-plugin-root-import,1
gatsby-plugin-sharp,2
gatsby-transformer-sharp,2
json5,4
mdi-material-ui,1
react-color,9
react-redux,42
redux,33
redux-persist,7
redux-thunk,16
reselect,5
@types/codemirror,1
@types/dot-prop-immutable,1
@types/react-color,4
@types/react-redux,7
@types/webfontloader,1
monaco-editor-webpack-plugin,4
@arco-design/transformable,1
es6-promise,4
lodash.kebabcase,4
lodash.throttle,5
qrcode.react,5
@types/lodash.throttle,1
@types/react-transition-group,12
@vitejs/plugin-react-refresh,2
eslint-plugin-arco-mobile,1
gulp-file,2
hasha,3
schema-utils,2
vconsole-webpack-plugin,1
