repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
Tencent_tdesign-miniprogram_package_json_history,2,63,dayjs,"gulp-sourcemaps, cross-env, eslint-plugin-prettier, eslint-plugin-import, miniprogram-automator, gulp-plumber, eslint, gulp-rename, gulp, gulp-changed, typescript, gulp-replace, miniprogram-api-typings, del, prettier, babel-jest, @typescript-eslint/eslint-plugin, jest-html-reporter, miniprogram-simulate, @typescript-eslint/parser, @types/jest, eslint-config-prettier, gulp-typescript, @babel/core, stylelint, gulp-replace-task, gulp-mp-npm, @babel/preset-env, @babel/preset-typescript, lint-staged, eslint-config-airbnb-base, gulp-less, husky, jest"
vexip-ui_vexip-ui_package_json_history,4,61,,"semver, stylelint-prettier, @commitlint/cli, pinst, vite, is-ci, eslint, typescript, prettier, @vitejs/plugin-vue, conventional-changelog-cli, execa, @vitejs/plugin-vue-jsx, fs-extra, stylelint, rimraf, sass, lint-staged, @vue/test-utils, husky"
selfishprimate_sketchize_package_json_history,0,0,,
BrandonArmand_Binari_package_json_history,21,14,"history, react-datetime, moment, node-sass, react, nouislider, @material-ui/icons, prop-types, classnames, react-dom, react-slick, @material-ui/core, react-router-dom, react-ace, react-p5, react-scripts","gulp-append-prepend, prettier, eslint-plugin-react, eslint-plugin-prettier, @babel/preset-env, gulp, @babel/plugin-proposal-class-properties, @babel/preset-react, @babel/cli, eslint-config-prettier"
adrianhajdin_social_media_app_package_json_history,26,14,"prettier, @tanstack/react-query-devtools, react, @radix-ui/react-label, solidjs-dropzone, react-router-dom, eslint-config-prettier, tailwindcss-animate, @radix-ui/react-toast, @tanstack/react-query, @hookform/resolvers, react-hook-form, zod, clsx, react-dropzone, react-dom, appwrite, @radix-ui/react-slot, lucide-react, attr-accept, class-variance-authority, eslint-config-standard, eslint-plugin-tailwindcss, tailwind-merge, @radix-ui/react-tabs, react-intersection-observer","tailwindcss, vite, @typescript-eslint/eslint-plugin, eslint, @types/react-dom, @typescript-eslint/parser, eslint-plugin-react-hooks, @types/node, postcss, @types/react, autoprefixer, eslint-plugin-react-refresh, typescript, @vitejs/plugin-react"
aws-amplify_amplify-ui_package_json_history,0,36,,
damien-schneider_cuicui_package_json_history,0,3,,
wix_react-native-ui-lib_package_json_history,15,64,,
franken-ui_ui_package_json_history,0,26,,"postcss-combine-duplicated-selectors, svelte-check, eslint-plugin-svelte, tslib, svelte, @sveltejs/adapter-static, prettier-plugin-tailwindcss, publint, vite, @sveltejs/package, eslint, prettier-plugin-svelte, lodash, typescript, prettier, tailwindcss, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, autoprefixer, @types/eslint, eslint-config-prettier, @types/lodash, @sveltejs/kit, @sveltejs/vite-plugin-svelte"
palantir_blueprint_package_json_history,31,0,"chai, stylelint-config-palantir, @types/react-dom, @types/enzyme, @types/mocha, stylelint-scss, @types/chai, @types/react, sinon",
czy0729_Bangumi_package_json_history,88,21,"react, react-native, prop-types, expo, deepmerge, mobx-react, @ant-design/react-native, react-navigation, mobx, react-native-modal-popover","eslint-plugin-react, eslint"
aws_aws-northstar_package_json_history,0,29,,"eslint-plugin-flowtype, eslint-plugin-react, @typescript-eslint/eslint-plugin, eslint-config-react-app, eslint, @typescript-eslint/parser, eslint-plugin-react-hooks, eslint-plugin-import, eslint-plugin-header, eslint-plugin-jsx-a11y, license-checker, lint-staged, git-conventional-commits, husky"
foundry-rs_forge-std_package_json_history,0,0,,
DTStack_molecule_package_json_history,14,58,,"@storybook/addons, @storybook/addon-links, @storybook/react, @storybook/addon-actions"
dmvaldman_samsara_package_json_history,0,7,,
flyandi_react-native-maps-navigation_package_json_history,3,0,prop-types,
wix-incubator_react-native-controllers_package_json_history,0,0,,
rgossiaux_svelte-headlessui_package_json_history,0,41,,"prettier, eslint-plugin-svelte3, @typescript-eslint/eslint-plugin, eslint, @typescript-eslint/parser, svelte-check, prettier-plugin-svelte, svelte-preprocess, eslint-config-prettier, @sveltejs/kit, @sveltejs/adapter-auto, tslib, svelte, typescript"
AxisCommunications_practical-react-components_package_json_history,0,27,,"react, @types/styled-components, semver, @mdx-js/react, @types/enzyme-adapter-react-16, pepjs, react-dom, typescript, babel-plugin-styled-components, @types/jest, typescript-styled-plugin, @babel/core, jest-styled-components, @types/react-dom, @babel/preset-env, @types/enzyme, @babel/preset-typescript, @babel/preset-react, @babel/cli, @types/react, jest"
react-navigation_drawer_package_json_history,0,30,,"prettier, eslint-config-satya164, react, react-native, @expo/vector-icons, react-test-renderer, eslint, babel-jest, react-dom, eslint-plugin-react-native-globals, husky, jest"
Shopify_restyle_package_json_history,0,14,,"prettier, react, react-native, eslint, typescript, @types/react"
jlyman_react-native-rating-requestor_package_json_history,0,0,,
d3ward_toolz_package_json_history,27,4,"html-loader, eslint-plugin-prettier, css-loader, webpack-merge, css-minimizer-webpack-plugin, mini-css-extract-plugin, babel-loader, file-loader, eslint, copy-webpack-plugin, glob, html-webpack-plugin, prettier, reachable-url, purgecss-webpack-plugin, glob-all, eslint-config-prettier, style-loader, @babel/core, webpack-dev-server, node-sass, clean-webpack-plugin, eslint-webpack-plugin, @babel/preset-env, sass, postcss, sass-loader","webpack, ejs, webpack-cli, template-ejs-loader"
listenzz_hybrid-navigation_package_json_history,1,25,,"babel-jest, react-test-renderer, jest"
